names	Macrolides (ermx)	Amphenicol (cmx)	Aminoglycoside	Tetracyclines 
CAKPL1818	yes	No	No	No
CAKPL1824	yes	No	No	No
CAKPL1855	yes	No	No	No
CAKPL1986	yes	No	No	No
CAKPL1996	yes	No	No	No
CAKPL1998	yes	No	No	No
CAKPL2004	yes	No	No	No
CALRKp3SID1129	yes	No	No	No
CAMAMC779	yes	yes	yes	No
CASDBCl5570	yes	No	No	No
CASH157	yes	No	No	No
CASH192	yes	No	No	No
CASH219	yes	No	No	No
CASH23	yes	No	No	No
CASH247	yes	No	No	No
CASH41	yes	No	No	No
CABKPLMSK070 	yes	No	No	No
CABKPLMSK091	yes	No	No	No
CABKPLMSK096	yes	No	No	No
CABKPLMSK109	yes	No	No	No
CADSCA1	yes	No	No	No
CADSCA2	yes	No	No	No
CADSCA3	yes	No	No	No
CADSCA4	yes	No	No	No
CADSCA6	yes	No	No	No
CADSCA8	yes	No	No	No
CAKPL079	yes	No	No	No
CAKPL2641	yes	yes	No	No
CAKPL2652	yes	No	No	No
CAKPL3647	yes	No	No	No
CAKPL3674	yes	No	No	No
CAKPL3774	yes	No	No	No
CAKPL3802	yes	No	No	No
CAKPL3921	yes	No	No	No
CAKPL3926	yes	No	No	No
CAKPL3970	yes	No	No	No
CAKPL4034	yes	No	No	No
CAKPL4065	yes	yes	No	No
CAKPL4075	yes	No	No	No
CAKPLMKS076	yes	No	No	No
CAKPLMSK077	yes	No	No	No
CAPCR19	yes	No	No	No
CAPCR20	yes	No	No	No
CAPCR31	yes	No	No	No
CAPCR4	yes	No	No	No
CMNML080212	yes	No	No	No
CMSS06T638	No	yes	No	yes
CMSS160603	yes	No	No	No
CAATCC49725	No	No	No	No
CAATCC49726	No	No	No	No
CABBMGSS02097	No	No	No	No
CABKPLMKS099	No	No	No	No
CABKPLMSK121	No	No	No	No
CABKPLMSK125	No	No	No	No
CABKPLMSK161	No	No	No	No
CABKPLMSK270	No	No	No	No
CABKPLMSK273	No	No	No	No
CADSCA5	No	No	No	No
CADSCA7	No	No	No	No
CADSCA9	No	No	No	No
CAKPL2617	No	No	No	No
CAKPL2618	No	No	No	No
CAKPL2660	No	No	No	No
CAKPL2783	No	No	No	No
CAKPL2859	No	No	No	No
CAKPL3703	No	No	No	No
CAKPL3832	No	No	No	No
CAKPLMSK075	No	No	No	No
CAMAMC781	No	No	No	No
CAMAMC787	No	No	No	No
CANCTC934	No	No	No	No
CAPCR22	No	No	No	No
CAPCR23	No	No	No	No
CASDBCI5886	No	No	No	No
CASDBCl5456	No	No	No	No
CASDBCl6012	No	No	No	No
CASH184	No	No	No	No
CASH262	No	No	No	No
CASH281	No	No	No	No
CASH79	No	No	No	No
CASH98	No	No	No	No
CMCCUG32361	No	No	No	No
CMNML120205	No	No	No	No
CMPCR7	No	No	No	No
CMSS12T220	No	No	No	No
CMSS12T66	No	No	No	No
CMSS14T168	No	No	No	No
CMSS14T424	No	No	No	No
CMSS14T514	No	No	No	No
CMSS14T631	No	No	No	No
CMSS150801	No	No	No	No
CMSS151011	No	No	No	No
CMSS160430	No	No	No	No
CMSS160806	No	No	No	No
CMSS160811	No	No	No	No
CMSS160812	No	No	No	No
CMSS161211	No	No	No	No
CMSS170718	No	No	No	No
CMSS171015	No	No	No	No
CMSS171203	No	No	No	No
CMSS180126	No	No	No	No
CMSS180208	No	No	No	No
CMSS180216	No	No	No	No
CMSS9T245	No	No	No	No
