Species,Iron_transporters
CA_I,7
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,8
CA_I,7
CA_I,6
CA_I,7
CA_I,6
CA_I,7
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,8
CA_I,6
CA_I,6
CA_I,6
CA_I,8
CA_I,6
CA_I,6
CA_I,7
CA_I,6
CA_I,6
CA_I,8
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,6
CA_I,8
CA_I,8
CA_I,6
CA_I,6
CA_I,8
CA_I,8
CA_I,6
CA_I,4
CA_I,8
CA_I,6
CA_I,8
CA_I,6
CA_I,8
CA_I,6
CA_I,7
CA_II,6
CA_II,9
CA_II,9
CA_II,9
CA_II,9
CA_II,9
CA_III,9
CA_III,9
CA_IV,9
CM,8
CM,8
CM,13
CM,13
CM,13
CM,13
CM,8
CM,13
CM,8
CM,8
CM,10
CM,12
CM,10
CM,10
CM,10
CM,12
CM,11
CM,13
CM,11
CM,13
CM,10
CM,8
CM,11
CM,12
CM,8
CM,10
