gene_name,logf2c,adjp,Iron_acquisition_annotated_genes
PELEDFMO_00666,8.81658937642314,0,Heme_transport
PELEDFMO_00668,8.38422555828737,1.39E-215,Heme_transport
PELEDFMO_00667,8.05919424658913,0,Heme_transport
PELEDFMO_00846,5.94313795050668,0,Siderophore_transport
PELEDFMO_02411,5.58229458141819,5.77E-63,Siderophore_transport
PELEDFMO_02410,5.50732191993146,1.48E-246,Siderophore_transport
PELEDFMO_01166,4.77283666926859,0,Siderophore_transport
PELEDFMO_01162,4.75721985925969,1.98E-301,Siderophore_transport
PELEDFMO_00843,4.68848209681069,0,Siderophore_transport
PELEDFMO_00845 ,4.60688020251864,0,Siderophore_transport
PELEDFMO_00634 ,4.441169715278,0,Siderophore_transport
PELEDFMO_00635 ,4.37094217251651,2.24E-263,Siderophore_transport
PELEDFMO_01164,4.28275473221115,9.31E-175,Siderophore_transport
PELEDFMO_00844 ,4.20805459665137,0,Siderophore_transport
PELEDFMO_00633 ,4.16065483739135,1.06E-204,Siderophore_transport
PELEDFMO_01163,3.87615662901519,1.36E-168,Siderophore_transport
PELEDFMO_01165,3.53524525654205,1.49E-305,Siderophore_transport
PELEDFMO_01167,3.12342410332479,0,Siderophore_transport
PELEDFMO_01183,2.50432369115136,2.28E-202,Siderophore_transport
PELEDFMO_00906,2.47946620144846,1.56E-251,Siderophore_transport
PELEDFMO_00908,2.20809534123829,1.42E-93,Siderophore_transport
PELEDFMO_00905,2.20273753380489,1.77E-38,Siderophore_transport
PELEDFMO_00907,2.15795368629018,1.57E-173,Siderophore_transport
PELEDFMO_01329,1.97592660182994,1.00813498954204E-214,Iron_transport
PELEDFMO_00909,1.78859455581107,6.35E-27,Siderophore_transport
PELEDFMO_00093,1.65571385669707,3.85E-112,Siderophore_transport
PELEDFMO_01328,1.65309280094471,6.1339953043363E-90,Iron_transport
PELEDFMO_01325 ,1.48072190354296,7.51082660459395E-22,Iron_genes_regulation
PELEDFMO_01186,1.07431979830691,6.31E-53,Siderophore_transport
PELEDFMO_00092,1.06717661482169,1.32E-44,Siderophore_transport
PELEDFMO_01701,0.981538586900119,4.45593711752902E-48,Iron_genes_regulation
PELEDFMO_01247,0.781265759149563,0.154656081732849,Siderophore_transport
PELEDFMO_00980,0.77720378883775,2.17696788973616E-13,Iron_genes_regulation
PELEDFMO_00090,0.770736893507548,8.78E-25,Siderophore_transport
PELEDFMO_02407,0.680302456993184,0.571262108604098,Siderophore_transport
PELEDFMO_01184,0.655269502185648,1.99E-18,Siderophore_transport
PELEDFMO_01185,0.615970744786279,1.44E-13,Siderophore_transport
PELEDFMO_01172 ,0.505709932673024,0.001596949741887,Iron_transport
PELEDFMO_00091,0.418440367631929,0.000000139,Siderophore_transport
PELEDFMO_01246,0.334175887119648,0.063086080436447,Siderophore_transport
PELEDFMO_00364,-0.052734734742867,0.648659668425909,Iron_genes_regulation
PELEDFMO_00067 ,-0.112783834530863,0.668590011454151,Siderophore_transport
PELEDFMO_01171,-0.287647462124972,0.723832264014524,Iron_transport
PELEDFMO_01386,-0.307444721764526,0.005622385099877,Iron_genes_regulation
PELEDFMO_00066,-0.384519794425207,0.058927894813662,Siderophore_transport
PELEDFMO_02406,-0.588896132224592,0.681754752143816,Siderophore_transport
PELEDFMO_02371,-1.05247812383069,2.38618410727491E-12,Iron_transport
PELEDFMO_02369,-1.06430875128798,1.1156592265028E-10,Iron_transport
PELEDFMO_00560 ,-2.17522098231892,2.23695745820186E-134,Iron_storage
